File Name: C:\Documents and Settings\Administrator\Desktop\09_30_16_Millipore_canine_13plex_Greyseal_Weddellseal.rbx,,,,,,,,,,,,,,,
"Acquisition Date: 30-Sep-2016, 10:11 AM",,,,,,,,,,,,,,,
Reader Serial Number: LX10009351401,,,,,,,,,,,,,,,
Plate ID: ,,,,,,,,,,,,,,,
RP1 PMT (Volts): 534.55,,,,,,,,,,,,,,,
RP1 Target: 3659,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,GM-CSF (14),IFNg (25),IL-2 (29),IL-6 (35),IL-7 (36),IL-8 (48),IL-15 (54),IP-10 (57),KC-like (61),IL-10 (63),IL-18 (67),MCP-1 (74),TNFa (76)
Type,Well,Description,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc,Obs Conc
B,"A1,B1",,,,,,,,,,,,,,
S1,"C1,D1",,11.76,12.36,12.24,12.45,12.43,OOR <,15.22,12.04,12.21,12.53,13.15,OOR <,12.41
S2,"E1,F1",,51.06,49.65,48.49,47.73,48.17,63.36,41.33,50.33,48.88,46.88,45.87,73.99,47.24
S3,"G1,H1",,185.83,187.26,196.88,196.41,193.85,222.86,197.09,185.72,193.56,197.64,196.27,188.31,201.7
S4,"A2,B2",,822.49,814.39,782.34,802.88,811.83,778.6,850.46,871.32,797.89,800.27,805.63,843.13,785.69
S5,"C2,D2",,3159.41,3086,3060.65,2975.05,2969.86,2984.99,3000.33,2729.6,3011.05,3073.15,3072.47,2692.41,2940.07
S6,"E2,F2",,11038.1,12502.25,12992.57,13311.08,13056.63,12795.51,12564.01,11348.38,14182.04,12551.7,12531.62,8200.26,14569.27
S7,"G2,H2",,59544.54,49970.6,48694.27,48077.7,49225.64,37394.23,49906.08,263872.36,40101.97,49822.41,49940.04,OOR >,43643.05
X1,"A3,B3",QC1,404.56,591.69,406.43,398.68,392.73,355.98,415.82,443.61,586.68,373.04,401.23,322.35,289.41
X2,"C3,D3",QC2,2346.96,2614.38,2296.3,2153.24,2044.2,1859.22,2278.99,2173,2917.63,1889.86,2191.93,1904.56,1633.35
X3,"E3,F3",213,OOR <,OOR <,OOR <,*1.29,*3.76,OOR <,OOR <,OOR <,OOR <,*8.94,48.69,OOR <,OOR <
X4,"G3,H3",254,OOR <,*3.49,OOR <,OOR <,*5.88,OOR <,*6.52,OOR <,OOR <,*14.31,115.88,OOR <,OOR <
X5,"A4,B4",258,OOR <,*3.49,OOR <,OOR <,*16.37,44.62,*4.33,OOR <,OOR <,OOR <,106.08,OOR <,OOR <
X6,"C4,D4",268,OOR <,OOR <,*5.45,OOR <,*7.99,OOR <,*4.33,OOR <,OOR <,*10.71,92.46,OOR <,OOR <
X7,"E4,F4",320,OOR <,OOR <,*4.58,OOR <,*12.18,345.65,*0.31,OOR <,OOR <,*8.94,111.95,OOR <,OOR <
X8,"G4,H4",310,OOR <,OOR <,OOR <,OOR <,*14.28,218.82,*0.31,OOR <,OOR <,40.46,236.7,OOR <,OOR <
X9,"A5,B5",312,OOR <,OOR <,OOR <,OOR <,*7.99,OOR <,*22.97,OOR <,OOR <,*8.05,82.81,OOR <,OOR <
X10,"C5,D5",325,OOR <,OOR <,OOR <,OOR <,*3.76,OOR <,OOR <,OOR <,OOR <,*14.31,220.3,OOR <,OOR <
X11,"E5,F5",326,OOR <,*15.17,OOR <,OOR <,*14.28,44.62,*15.73,OOR <,OOR <,*19.79,135.62,OOR <,OOR <
X12,"G5,H5",328,OOR <,OOR <,*2.75,OOR <,*16.37,1305.39,*4.33,OOR <,OOR <,77.42,129.68,OOR <,OOR <
X13,"A6,B6",329,OOR <,OOR <,*4.58,OOR <,*35.20,44.62,*8.76,OOR <,OOR <,*7.18,84.73,OOR <,OOR <
X14,"C6,D6",853,OOR <,*3.49,*0.68,OOR <,498.81,OOR <,*8.76,OOR <,OOR <,*5.44,*23.15,OOR <,OOR <
X15,"E6,F6",854,OOR <,OOR <,159.3,*1.29,203.27,126.4,*4.33,OOR <,OOR <,*1.25,92.46,OOR <,OOR <
X16,"G6,H6",857,OOR <,OOR <,OOR <,*1.29,*9.04,159.5,*11.05,OOR <,OOR <,*14.31,*7.60,OOR <,OOR <
X17,"A7,B7",869,OOR <,*3.49,*0.68,OOR <,*3.76,OOR <,OOR <,OOR <,OOR <,*17.95,123.75,OOR <,OOR <
