Analyte,Type,Well,Description,%CV,Conc in Range,Obs Conc,Exp Conc,(Obs/Exp) * 100,Dilution
,,,,,,,,,
GM-CSF (14),B,"A1,B1",,12.86,,,,,1
GM-CSF (14),S1,"C1,D1",,2.89,11.9,11.9,12.21,97,1
GM-CSF (14),S2,"E1,F1",,9.18,50.37,50.37,48.83,103,1
GM-CSF (14),S3,"G1,H1",,9.56,191.42,191.42,195.31,98,1
GM-CSF (14),S4,"A2,B2",,3.47,770.35,770.35,781.25,99,1
GM-CSF (14),S5,"C2,D2",,1.01,3428.39,3428.39,3125,110,1
GM-CSF (14),S6,"E2,F2",,3.79,10538.93,10538.93,12500,84,1
GM-CSF (14),S7,"G2,H2",,3.26,62582.34,62582.34,50000,125,1
GM-CSF (14),X1,"A3,B3",QC1,0.77,379.8,379.8,,,1
GM-CSF (14),X2,"C3,D3",QC2,10.41,2186.59,2186.59,,,1
GM-CSF (14),X3,"E3,F3",1325,5.24,OOR <,OOR <,,,3
GM-CSF (14),X4,"G3,H3",1327,5.24,OOR <,OOR <,,,3
GM-CSF (14),X5,"A4,B4",1337,4.29,OOR <,OOR <,,,3
GM-CSF (14),X6,"C4,D4",1348,2.89,OOR <,OOR <,,,3
GM-CSF (14),X7,"E4,F4",1351,0,OOR <,OOR <,,,3
GM-CSF (14),X8,"G4,H4",1354,12.86,OOR <,OOR <,,,3
GM-CSF (14),X9,"A5,B5",1357,10.88,OOR <,OOR <,,,3
GM-CSF (14),X10,"C5,D5",1358,13.86,OOR <,OOR <,,,3
GM-CSF (14),X11,"E5,F5",1380,0,OOR <,OOR <,,,3
GM-CSF (14),X12,"G5,H5",1401,0,OOR <,OOR <,,,3
GM-CSF (14),X13,"A6,B6",1402,11.79,OOR <,OOR <,,,3
GM-CSF (14),X14,"C6,D6",1403,15.71,OOR <,OOR <,,,3
GM-CSF (14),X15,"E6,F6",1404,6.15,OOR <,OOR <,,,3
GM-CSF (14),X16,"G6,H6",1405,0,OOR <,OOR <,,,3
GM-CSF (14),X17,"A7,B7",1407,0,OOR <,OOR <,,,3
GM-CSF (14),X18,"C7,D7",1414,9.43,OOR <,OOR <,,,3
GM-CSF (14),X19,"E7,F7",1430,5.66,OOR <,OOR <,,,3
GM-CSF (14),X20,"G7,H7",1461,6.73,OOR <,OOR <,,,3
GM-CSF (14),X21,"A8,B8",1463,2.77,OOR <,OOR <,,,3
GM-CSF (14),X22,"C8,D8",1465,0,OOR <,OOR <,,,3
GM-CSF (14),X23,"E8,F8",1476,6.15,OOR <,OOR <,,,3
GM-CSF (14),X24,"G8,H8",1505,6.15,OOR <,OOR <,,,3
GM-CSF (14),X25,"A9,B9",1513,0,OOR <,OOR <,,,3
GM-CSF (14),X26,"C9,D9",1516,12.86,OOR <,OOR <,,,3
GM-CSF (14),X27,"E9,F9",1527,6.15,OOR <,OOR <,,,3
GM-CSF (14),X28,"G9,H9",1528,0,OOR <,OOR <,,,3
GM-CSF (14),X29,"A10,B10",1554,6.15,OOR <,OOR <,,,3
GM-CSF (14),X30,"C10,D10",1555,6.73,OOR <,OOR <,,,3
GM-CSF (14),X31,"E10,F10",1556,0,OOR <,OOR <,,,3
GM-CSF (14),X32,"G10,H10",1562,0,OOR <,OOR <,,,3
GM-CSF (14),X33,"A11,B11",1563,6.15,OOR <,OOR <,,,3
GM-CSF (14),X34,"C11,D11",1581,0,OOR <,OOR <,,,3
GM-CSF (14),X35,"E11,F11",1586,6.73,OOR <,OOR <,,,3
GM-CSF (14),X36,"G11,H11",1663,0,OOR <,OOR <,,,3
GM-CSF (14),X37,"A12,B12",1394,5.66,OOR <,OOR <,,,3
GM-CSF (14),X38,"C12,D12",1391,2.89,OOR <,OOR <,,,3
GM-CSF (14),X39,"E12,F12",1379,12.12,OOR <,OOR <,,,3
GM-CSF (14),X40,"G12,H12",1501,3.14,OOR <,OOR <,,,3
IFNg (25),B,"A1,B1",,8.32,,,,,1
IFNg (25),S1,"C1,D1",,0,2.3,2.3,2.44,94,1
IFNg (25),S2,"E1,F1",,6.43,10.69,10.69,9.77,109,1
IFNg (25),S3,"G1,H1",,9.68,37.94,37.94,39.06,97,1
IFNg (25),S4,"A2,B2",,8.27,150.84,150.84,156.25,97,1
IFNg (25),S5,"C2,D2",,4.63,652.4,652.4,625,104,1
IFNg (25),S6,"E2,F2",,5.71,2448.8,2448.8,2500,98,1
IFNg (25),S7,"G2,H2",,2.45,10151.02,10151.02,10000,102,1
IFNg (25),X1,"A3,B3",QC1,10.31,159.09,159.09,,,1
