Sample,iav,iavser,location,year,sex,molt.stage,weight,st.length,ax.girth,bodcond
213,neg,neg,Muskeget,2014,M,V,44.6,107,102,95.3271028
254,neg,neg,Muskeget,2014,NA,V,56.6,120,109,90.83333333
258,neg,neg,Muskeget,2014,F,IV,36.8,96,98,102.0833333
268,neg,neg,Muskeget,2014,M,V,38.8,100,95,95
270,pos,neg,Muskeget,2014,M,III,50,113,107,94.69026549
271,neg,neg,Muskeget,2014,M,V,38,113,99,87.61061947
204-268,neg,NA,Muskeget,2014,M,NA,NA,NA,NA,NA
310,neg,neg,Monomoy,2015,F,III,29,102,92,90.19607843
312,pos,pos,Monomoy,2015,F,V,35.6,117,104,88.88888889
320,pos,neg,Monomoy,2015,M,III,33,104,93,89.42307692
325,neg,neg,Monomoy,2015,F,V,32.4,111,94,84.68468468
326,neg,neg,Monomoy,2015,F,IV,27.4,NA,102,NA
328,neg,neg,Monomoy,2015,M,IV,30.2,104.5,100,95.6937799
329,neg,neg,Monomoy,2015,M,III,33.8,114,97,85.0877193
853,pos,neg,Monomoy,2016,F,III,39,101,101,100
854,pos,neg,Monomoy,2016,M,IV,29.2,104,86,82.69230769
857,neg,neg,Monomoy,2016,M,IV,32.2,112,89,79.46428571
861,neg,pos,Monomoy,2016,F,V,35,111,96,86.48648649
862,neg,pos,Monomoy,2016,F,V,27,107,79.5,74.29906542
869,neg,neg,Monomoy,2016,F,V,38.2,120,99,82.5
886,neg,neg,Monomoy,2016,M,V,34,103,94,91.26213592
896,neg,neg,Monomoy,2016,F,IV,38.8,110,99,90
900,neg,neg,Monomoy,2016,M,V,35.2,122,91.6,75.08196721
1203,neg,neg,Monomoy,2017,F,III,28,100,84.8,84.8
1204,neg,neg,Monomoy,2017,F,V,43,120,93.5,77.91666667
1206,pos,neg,Monomoy,2017,M,III,45.6,107.5,101,93.95348837
1208,neg,neg,Monomoy,2017,M,III,35.6,108,94,87.03703704
1209,pos,neg,Monomoy,2017,M,IV,64.4,108,108,100
1211,pos,neg,Monomoy,2017,F,IV,45.6,109,107,98.16513761
1212,neg,neg,Monomoy,2017,F,III,39.4,NA,NA,NA
1213,neg,neg,Monomoy,2017,M,V,32,97,107,110.3092784
1215,neg,neg,Monomoy,2017,F,V,47.6,102.5,108,105.3658537
1216,neg,neg,Monomoy,2017,NA,V,49.2,116,110,94.82758621
1217,neg,neg,Monomoy,2017,M,III,41.2,113,NA,NA
1218,neg,neg,Monomoy,2017,M,III,32.2,101,100,99.00990099
1219,neg,neg,Monomoy,2017,F,IV,43.2,114,103,90.35087719
1221,pos,pos,Monomoy,2017,F,IV,40.4,108,104,96.2962963
1224,neg,neg,Monomoy,2017,M,V,44,105,101,96.19047619
1227,neg,neg,Monomoy,2017,M,III,44.8,115.5,110,95.23809524
1228,neg,neg,Monomoy,2017,M,III,42.6,114,104,91.22807018
