"Sample","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","KC-like","IL-10","IL-18","analysis.year","batch"
"213","0","0","1","1","0","0","0","1","1","2016","1"
"254","1","0","0","1","0","1","0","1","1","2016","1"
"258","1","0","0","1","1","1","0","0","1","2016","1"
"268","0","1","0","1","0","1","0","1","1","2016","1"
"320","0","1","0","1","1","1","0","1","1","2016","1"
"310","0","0","0","1","1","1","0","1","1","2016","1"
"312","0","0","0","1","0","1","0","1","1","2016","1"
"325","0","0","0","1","0","0","0","1","1","2016","1"
"326","1","0","0","1","1","1","0","1","1","2016","1"
"328","0","1","0","1","1","1","0","1","1","2016","1"
"329","0","1","0","1","1","1","0","1","1","2016","1"
"853","1","1","0","1","0","1","0","1","1","2016","1"
"854","0","1","1","1","1","1","0","1","1","2016","1"
"857","0","0","1","1","1","1","0","1","1","2016","1"
"869","1","1","0","1","0","0","0","1","1","2016","1"
"886","0","0","0","1","1","0","0","1","1","2016","1"
"896","0","1","0","1","1","1","0","1","1","2016","1"
"900","0","0","0","1","0","1","0","1","1","2016","1"
"246","1","0","0","1","0","0","0","0","1","2022","2"
"248","1","1","0","1","0","0","0","1","1","2022","2"
"271","0","1","1","1","0","0","0","0","1","2022","2"
"861","0","1","0","1","0","0","0","0","1","2022","2"
"862","0","1","0","1","0","0","0","0","1","2022","2"
"1206","1","0","0","1","0","0","0","0","1","2022","2"
"1209","1","1","0","1","0","0","0","0","1","2022","2"
"1211","0","0","0","1","0","0","0","0","1","2022","2"
"1221","0","0","0","1","0","0","0","0","1","2022","2"
"1224","1","1","0","1","0","0","0","0","1","2022","2"
"1228","1","0","0","1","0","0","0","0","1","2022","2"
"1235","0","1","0","1","0","0","0","0","1","2022","2"
"1239","0","1","0","1","0","0","0","0","1","2022","2"
"1244","1","1","0","1","0","0","0","0","1","2022","2"
"1256","0","0","1","1","0","0","0","0","1","2022","2"
"1257","0","0","0","1","0","0","0","0","1","2022","2"
"1258","1","1","0","1","0","0","0","0","1","2022","2"
"1261","0","0","0","1","0","0","0","0","1","2022","2"
"1262","0","1","0","1","0","0","0","0","1","2022","2"
