"Sample","GM-CSF","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","IP-10","KC-like","IL-10","IL-18","MCP-1","TNFa","analysis.year","batch"
"213","0","0","0","1","1","0","0","0","0","1","1","0","0","2016","1"
"254","0","1","0","0","1","0","1","0","0","1","1","0","0","2016","1"
"258","0","1","0","0","1","1","1","0","0","0","1","0","0","2016","1"
"268","0","0","1","0","1","0","1","0","0","1","1","0","0","2016","1"
"320","0","0","1","0","1","1","1","0","0","1","1","0","0","2016","1"
"310","0","0","0","0","1","1","1","0","0","1","1","0","0","2016","1"
"312","0","0","0","0","1","0","1","0","0","1","1","0","0","2016","1"
"325","0","0","0","0","1","0","0","0","0","1","1","0","0","2016","1"
"326","0","1","0","0","1","1","1","0","0","1","1","0","0","2016","1"
"328","0","0","1","0","1","1","1","0","0","1","1","0","0","2016","1"
"329","0","0","1","0","1","1","1","0","0","1","1","0","0","2016","1"
"853","0","1","1","0","1","0","1","0","0","1","1","0","0","2016","1"
"854","0","0","1","1","1","1","1","0","0","1","1","0","0","2016","1"
"857","0","0","0","1","1","1","1","0","0","1","1","0","0","2016","1"
"869","0","1","1","0","1","0","0","0","0","1","1","0","0","2016","1"
"886","0","0","0","0","1","1","0","0","0","1","1","0","0","2016","1"
"896","1","0","1","0","1","1","1","0","0","1","1","0","0","2016","1"
"900","0","0","0","0","1","0","1","0","0","1","1","0","0","2016","1"
"246","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"248","0","1","1","0","1","0","0","0","0","1","1","0","0","2022","2"
"271","0","0","1","1","1","0","0","0","0","0","1","1","0","2022","2"
"861","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"862","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1206","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1209","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1211","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1221","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1224","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1228","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1235","0","0","1","0","1","0","0","1","0","0","1","0","0","2022","2"
"1239","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1244","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1256","0","0","0","1","1","0","0","0","0","0","1","0","0","2022","2"
"1257","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1258","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1261","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1262","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1265","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1272","0","1","0","1","1","0","0","0","0","0","1","0","0","2022","2"
"1273","0","0","1","0","1","0","1","0","0","0","1","0","0","2022","2"
"1274","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1282","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1283","0","0","0","0","0","0","0","0","0","0","1","0","0","2022","2"
"1288","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1301","0","0","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1302","0","0","0","1","1","0","0","0","0","0","1","0","0","2022","2"
"1303","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1304","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","2"
"1305","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1306","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1308","0","0","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1324","0","1","1","0","1","0","0","0","0","0","1","0","0","2022","2"
"1325","0","1","1","0","1","0","0","0","1","0","1","0","0","2022","3"
"1327","0","1","1","0","0","0","1","0","1","0","1","0","0","2022","3"
"1337","0","1","1","0","0","0","0","0","1","0","1","0","0","2022","3"
"1348","0","1","0","0","0","0","0","0","1","0","1","0","0","2022","3"
"1351","0","1","0","0","1","0","0","0","0","0","1","0","0","2022","3"
"1354","0","1","0","0","0","0","0","0","1","0","1","0","0","2022","3"
