"cytokine","neg_sampsize","neg_meanse","neg_medrange","pos_sampsize","pos_meanse","pos_medrange"
"analysis.year",76,"2021.22 + 0.29","2022 (2016 - 2023)",40,"2021.42 + 0.29","2022 (2016 - 2023)"
"batch",76,"2.74 + 0.13","3 (1 - 4)",40,"2.4 + 0.11","2 (1 - 4)"
"GM.CSF",3,"18.54 + 9.42","21.9 (0.8 - 32.91)",NA,NA,NA
"IFNg",56,"4.83 + 1.47","1.61 (0.05 - 79.94)",20,"3.22 + 0.91","2 (0.28 - 14.78)"
"IL.10",22,"17.05 + 3.41","14.31 (2.12 - 77.42)",7,"10.91 + 4.08","8.05 (1.25 - 31.37)"
"IL.15",14,"30.2 + 19.45","7.64 (0.31 - 279.86)",4,"9.09 + 4.94","6.54 (0.31 - 22.97)"
"IL.18",76,"52.39 + 4.62","41.94 (7.6 - 236.7)",40,"50 + 3.4","44.16 (14.72 - 111.95)"
"IL.2",32,"59.58 + 35.15","9.27 (0.1 - 1103.81)",19,"25.75 + 8.59","11.95 (0.1 - 159.3)"
"IL.6",30,"6.83 + 0.49","6.95 (1.29 - 11.38)",4,"37.46 + 30.78","9.46 (1.29 - 129.63)"
"IL.7",51,"10.41 + 1.86","5.44 (0.34 - 70.02)",25,"48.77 + 22.77","6.13 (1 - 498.81)"
"IL.8",10,"361.21 + 163.17","151.42 (44.62 - 1360.36)",3,"166.33 + 94.15","126.4 (26.93 - 345.65)"
"IP.10",2,"21.3 + 13.52","21.3 (7.78 - 34.82)",1,"122.02 + NA","122.02 (122.02 - 122.02)"
"KC.like",37,"2.32 + 0.18","2.71 (0.11 - 3.65)",12,"1.37 + 0.45","0.39 (0.39 - 5.32)"
"MCP.1",1,"69.73 + NA","69.73 (69.73 - 69.73)",NA,NA,NA
"TNFa",2,"70.94 + 29.86","70.94 (41.08 - 100.81)",NA,NA,NA
