"Sample","iav","iavser","location","year","sex","molt.stage","weight","st.length","ax.girth","bodcond","bc_bin","stage","bmi","bmi_bin","bmi_bin2"
"213","neg","neg","Muskeget",2014,"M","V",44.6,107,102,95.3271028037383,"Average","control",3.74841222212494,"Robust","Robust"
"254","neg","neg","Muskeget",2014,NA,"V",56.6,120,109,90.8333333333333,"Average","control",6.78553027301506,"Robust","Robust"
"258","neg","neg","Muskeget",2014,"F","IV",36.8,96,98,102.083333333333,"Robust","control",1.43366431010084,"Robust","Average"
"268","neg","neg","Muskeget",2014,"M","V",38.8,100,95,95,"Average","control",3.99250355045408,"Robust","Robust"
"271","neg","neg","Muskeget",2014,"M","V",38,113,99,87.6106194690265,"Average","control",-2.68767039650439,"Poor","Average"
"310","neg","neg","Monomoy",2015,"F","III",29,102,92,90.1960784313726,"Average","control",-4.6839668497144,"Poor","Poor"
"312","pos","pos","Monomoy",2015,"F","V",35.6,117,104,88.8888888888889,"Average","peak",-9.61824356253588,"Poor","Poor"
"320","pos","neg","Monomoy",2015,"M","III",33,104,93,89.4230769230769,"Average","acute",-1.72133585223421,"Poor","Average"
"325","neg","neg","Monomoy",2015,"F","V",32.4,111,94,84.6846846846847,"Average","control",-4.65317891529716,"Poor","Poor"
"326","neg","neg","Monomoy",2015,"F","IV",27.4,NA,102,NA,NA,"control",NA,NA,NA
"328","neg","neg","Monomoy",2015,"M","IV",30.2,104.5,100,95.6937799043062,"Average","control",-8.6946752501175,"Poor","Poor"
"329","neg","neg","Monomoy",2015,"M","III",33.8,114,97,85.0877192982456,"Average","control",-5.88704298025498,"Poor","Poor"
"853","pos","neg","Monomoy",2016,"F","III",39,101,101,100,"Robust","acute",0.52692082840602,"Robust","Average"
"854","pos","neg","Monomoy",2016,"M","IV",29.2,104,86,82.6923076923077,"Poor","acute",-1.7837327374266,"Poor","Average"
"857","neg","neg","Monomoy",2016,"M","IV",32.2,112,89,79.4642857142857,"Poor","control",-2.16728578125698,"Poor","Average"
"861","neg","pos","Monomoy",2016,"F","V",35,111,96,86.4864864864865,"Average","late",-3.26298384026635,"Poor","Poor"
"862","neg","pos","Monomoy",2016,"F","V",27,107,79.5,74.2990654205608,"Poor","late",-1.31868421526934,"Poor","Average"
"869","neg","neg","Monomoy",2016,"F","V",38.2,120,99,82.5,"Poor","control",-4.45545338577326,"Poor","Poor"
"886","neg","neg","Monomoy",2016,"M","V",34,103,94,91.2621359223301,"Average","control",-1.02570877456169,"Poor","Average"
"896","neg","neg","Monomoy",2016,"F","IV",38.8,110,99,90,"Average","control",-1.04433482967487,"Poor","Average"
"900","neg","neg","Monomoy",2016,"M","V",35.2,122,91.6,75.0819672131148,"Poor","control",-3.08226729325723,"Poor","Poor"
"1206","pos","neg","Monomoy",2017,"M","III",45.6,107.5,101,93.953488372093,"Average","acute",5.22512068005444,"Robust","Robust"
"1209","pos","neg","Monomoy",2017,"M","IV",64.4,108,108,100,"Robust","acute",19.3469645068767,"Robust","Robust"
"1211","pos","neg","Monomoy",2017,"F","IV",45.6,109,107,98.1651376146789,"Robust","acute",0.884579816782159,"Robust","Average"
"1221","pos","pos","Monomoy",2017,"F","IV",40.4,108,104,96.2962962962963,"Average","peak",-2.02622718946332,"Poor","Average"
"1224","neg","neg","Monomoy",2017,"M","V",44,105,101,96.1904761904762,"Average","control",4.35658227557428,"Robust","Robust"
"1228","neg","neg","Monomoy",2017,"M","III",42.6,114,104,91.2280701754386,"Average","control",-1.68757143817836,"Poor","Average"
"1235","pos","neg","Monomoy",2017,"M","III",28.8,111,82.5,74.3243243243243,"Poor","acute",-1.79106958251765,"Poor","Average"
"1239","pos","neg","Monomoy",2017,"F","V",33.4,108,96.5,89.3518518518518,"Average","acute",-4.36813404485399,"Poor","Poor"
"1244","pos","neg","Monomoy",2017,"F","IV",33.4,106,90,84.9056603773585,"Average","acute",-0.148358559404913,"Poor","Average"
"1256","pos","pos","Monomoy",2017,"F",NA,43.5,108,101.5,93.9814814814815,"Average","peak",2.66519116667503,"Robust","Average"
"1257","pos","neg","Monomoy",2017,"M","IV",28.2,94,80,85.1063829787234,"Average","acute",2.02290425987157,"Robust","Average"
"1258","pos","neg","Monomoy",2017,"F",NA,36,101,101.8,100.792079207921,"Robust","acute",-2.94306859439453,"Poor","Poor"
"1265","pos","pos","Monomoy",2017,NA,"V",41,114.5,98,85.589519650655,"Average","peak",0.537626371765714,"Robust","Average"
"1301","pos","neg","Muskeget",2017,"M",NA,39,100,96,96,"Average","acute",3.64467818139502,"Robust","Robust"
"1302","pos","neg","Muskeget",2017,"F",NA,39,113.5,93,81.9383259911894,"Poor","acute",1.92199685135621,"Robust","Average"
"1303","neg","pos","Muskeget",2017,"M",NA,47.4,97,98,101.030927835052,"Robust","late",11.7582027999206,"Robust","Robust"
"1304","pos","neg","Muskeget",2017,"M",NA,37.5,99,91,91.9191919191919,"Average","acute",5.06395639543696,"Robust","Robust"
"1305","neg","neg","Muskeget",2017,"M",NA,55.6,118,116,98.3050847457627,"Robust","control",1.13652930861469,"Robust","Average"
"1306","neg","neg","Muskeget",2017,"F",NA,47.2,107,104,97.196261682243,"Robust","control",5.08399685198919,"Robust","Robust"
"1308","pos","neg","Muskeget",2017,"M",NA,31.8,90,90,100,"Robust","acute",1.96882300237809,"Robust","Average"
"1324","neg","pos","Muskeget",2017,"F","IV",58,109,109.5,100.45871559633,"Robust","late",11.5924519408999,"Robust","Robust"
"1325","pos","neg","Muskeget",2017,"F",NA,45.6,103,102.5,99.5145631067961,"Robust","acute",5.63996932831246,"Robust","Robust"
"1327","neg","neg","Muskeget",2017,"F",NA,40,109,97,88.9908256880734,"Average","control",1.66229966306355,"Robust","Average"
"1337","neg","neg","Muskeget",2017,"M","IV",45.6,109,102,93.5779816513761,"Average","control",4.15159807137238,"Robust","Robust"
"1348","neg","neg","Muskeget",2017,"M","IV",42.6,107,98,91.588785046729,"Average","control",4.2035876981178,"Robust","Robust"
"1261","neg","pos","Monomoy",2018,"F","V",42.8,125,121,96.8,"Average","late",-18.6135963434422,"Poor","Poor"
"1262","neg","neg","Monomoy",2018,"F","V",42.8,105.5,99.5,94.3127962085308,"Average","control",3.92034333935232,"Robust","Robust"
"1272","neg","pos","Monomoy",2018,"F","V",26.4,100,81.1,81.1,"Poor","late",-1.38675582059775,"Poor","Average"
"1273","neg","neg","Monomoy",2018,"F","V",43,108,95.5,88.4259259259259,"Average","control",5.82661500503129,"Robust","Robust"
"1274","pos","neg","Monomoy",2018,"M","V",27,111,88,79.2792792792793,"Poor","acute",-6.57658160459623,"Poor","Poor"
"1282","neg","neg","Monomoy",2018,"F","V",46.2,101,103,101.980198019802,"Robust","control",6.54499476515021,"Robust","Robust"
"1283","neg","neg","Monomoy",2018,"F","V",37.6,101,NA,NA,NA,"control",NA,NA,NA
"1288","pos","pos","Monomoy",2018,"F","V",43.2,110,107,97.2727272727273,"Robust","peak",-1.84379990313183,"Poor","Average"
"1351","neg","neg","Monomoy",2018,"F","V",35.8,98,96,97.9591836734694,"Robust","control",0.973344003515264,"Robust","Average"
"1354","pos","neg","Monomoy",2018,"F","V",29,107,81,75.7009345794392,"Poor","acute",-0.0575385850758222,"Poor","Average"
"1357","neg","neg","Muskeget",2018,"M",NA,45.2,100,100.5,100.5,"Robust","control",7.30847617830349,"Robust","Robust"
"1358","pos","neg","Muskeget",2018,"F",NA,37,103.5,100.5,97.1014492753623,"Robust","acute",-1.90545608051515,"Poor","Average"
"1379","neg","pos","Monomoy",2018,"M","IV",42.8,114,98.5,86.4035087719298,"Average","late",2.15410487313092,"Robust","Average"
"1380","neg","pos","Monomoy",2018,"F","V",26.8,95,80,84.2105263157895,"Poor","late",0.439339738302036,"Robust","Average"
"1391","neg","neg","Monomoy",2018,"F",NA,35.8,111,84,75.6756756756757,"Poor","control",4.4138020490322,"Robust","Robust"
"1394","neg","neg","Monomoy",2018,"F","V",27.8,101,87,86.1386138613861,"Average","control",-3.04849731255155,"Poor","Poor"
"1430","pos","neg","Muskeget",2018,"F","V",39.8,94,97,103.191489361702,"Robust","acute",5.51032759301913,"Robust","Robust"
"1401","neg","pos","Muskeget",2019,"F","V",39.2,103,96,93.2038834951456,"Average","late",3.05167944821465,"Robust","Robust"
"1402","pos","pos","Muskeget",2019,"M","V",32,101,86,85.1485148514851,"Average","peak",1.65266251328977,"Robust","Average"
"1403","pos","neg","Muskeget",2019,"F","V",37.2,112,105,93.75,"Average","acute",-7.1385105929139,"Poor","Poor"
"1404","pos","neg","Muskeget",2019,"F","V",31.8,95,97,102.105263157895,"Robust","acute",-2.75954093564457,"Poor","Poor"
"1405","pos","neg","Muskeget",2019,"F","V",31.2,97,94,96.9072164948454,"Robust","acute",-2.30510616901009,"Poor","Average"
"1407","pos","neg","Muskeget",2019,"M","V",49.8,123,110,89.4308943089431,"Average","acute",-1.80938656445705,"Poor","Average"
"1414","neg","neg","Great Point",2019,"M","V",24.8,104.5,81,77.511961722488,"Poor","control",-3.78708279366266,"Poor","Poor"
"1461","pos","neg","Great Point",2019,"M","IV",20.4,92,71,77.1739130434783,"Poor","acute",-1.8239190403026,"Poor","Average"
"1463","pos","neg","Great Point",2019,"F","IV",27.2,101,82,81.1881188118812,"Poor","acute",-1.20063573546536,"Poor","Average"
