"Sample","iav","iavser","location","year","sex","molt.stage","bodcond","batch"
213,"IAV-","neg","Muskeget","2014","M","V","95.33 (Average)","1"
254,"IAV-","neg","Muskeget","2014",NA,"V","90.83 (Average)","1"
258,"IAV-","neg","Muskeget","2014","F","IV","102.08 (Robust)","1"
268,"IAV-","neg","Muskeget","2014","M","V","95 (Average)","1"
271,"IAV-","neg","Muskeget","2014","M","V","87.61 (Average)","2"
310,"IAV-","neg","Monomoy","2015","F","III","90.2 (Average)","1"
312,"IAV+","pos","Monomoy","2015","F","V","88.89 (Average)","1"
320,"IAV+","neg","Monomoy","2015","M","III","89.42 (Average)","1"
325,"IAV-","neg","Monomoy","2015","F","V","84.68 (Average)","1"
326,"IAV-","neg","Monomoy","2015","F","IV","NA (NA)","1"
328,"IAV-","neg","Monomoy","2015","M","IV","95.69 (Average)","1"
329,"IAV-","neg","Monomoy","2015","M","III","85.09 (Average)","1"
853,"IAV+","neg","Monomoy","2016","F","III","100 (Robust)","1"
854,"IAV+","neg","Monomoy","2016","M","IV","82.69 (Poor)","1"
857,"IAV-","neg","Monomoy","2016","M","IV","79.46 (Poor)","1"
861,"IAV-","pos","Monomoy","2016","F","V","86.49 (Average)","2"
862,"IAV-","pos","Monomoy","2016","F","V","74.3 (Poor)","2"
869,"IAV-","neg","Monomoy","2016","F","V","82.5 (Poor)","1"
886,"IAV-","neg","Monomoy","2016","M","V","91.26 (Average)","1"
896,"IAV-","neg","Monomoy","2016","F","IV","90 (Average)","1"
900,"IAV-","neg","Monomoy","2016","M","V","75.08 (Poor)","1"
1206,"IAV+","neg","Monomoy","2017","M","III","93.95 (Average)","2"
1209,"IAV+","neg","Monomoy","2017","M","IV","100 (Robust)","2"
1211,"IAV+","neg","Monomoy","2017","F","IV","98.17 (Robust)","2"
1221,"IAV+","pos","Monomoy","2017","F","IV","96.3 (Average)","2"
1224,"IAV-","neg","Monomoy","2017","M","V","96.19 (Average)","2"
1228,"IAV-","neg","Monomoy","2017","M","III","91.23 (Average)","2"
1235,"IAV+","neg","Monomoy","2017","M","III","74.32 (Poor)","2"
1239,"IAV+","neg","Monomoy","2017","F","V","89.35 (Average)","2"
1244,"IAV+","neg","Monomoy","2017","F","IV","84.91 (Average)","2"
1256,"IAV+","pos","Monomoy","2017","F",NA,"93.98 (Average)","2"
1257,"IAV+","neg","Monomoy","2017","M","IV","85.11 (Average)","2"
1258,"IAV+","neg","Monomoy","2017","F",NA,"100.79 (Robust)","2"
1265,"IAV+","pos","Monomoy","2017",NA,"V","85.59 (Average)","2"
1301,"IAV+","neg","Muskeget","2017","M",NA,"96 (Average)","2"
1302,"IAV+","neg","Muskeget","2017","F",NA,"81.94 (Poor)","2"
1303,"IAV-","pos","Muskeget","2017","M",NA,"101.03 (Robust)","2"
1304,"IAV+","neg","Muskeget","2017","M",NA,"91.92 (Average)","2"
1305,"IAV-","neg","Muskeget","2017","M",NA,"98.31 (Robust)","2"
1306,"IAV-","neg","Muskeget","2017","F",NA,"97.2 (Robust)","2"
1308,"IAV+","neg","Muskeget","2017","M",NA,"100 (Robust)","2"
1324,"IAV-","pos","Muskeget","2017","F","IV","100.46 (Robust)","2"
1325,"IAV+","neg","Muskeget","2017","F",NA,"99.51 (Robust)","2"
1327,"IAV-","neg","Muskeget","2017","F",NA,"88.99 (Average)","2"
1337,"IAV-","neg","Muskeget","2017","M","IV","93.58 (Average)","2"
1348,"IAV-","neg","Muskeget","2017","M","IV","91.59 (Average)","2"
1261,"IAV-","pos","Monomoy","2018","F","V","96.8 (Average)","2"
1262,"IAV-","neg","Monomoy","2018","F","V","94.31 (Average)","2"
1272,"IAV-","pos","Monomoy","2018","F","V","81.1 (Poor)","2"
1273,"IAV-","neg","Monomoy","2018","F","V","88.43 (Average)","2"
1274,"IAV+","neg","Monomoy","2018","M","V","79.28 (Poor)","2"
1282,"IAV-","neg","Monomoy","2018","F","V","101.98 (Robust)","2"
1283,"IAV-","neg","Monomoy","2018","F","V","NA (NA)","2"
1288,"IAV+","pos","Monomoy","2018","F","V","97.27 (Robust)","2"
1351,"IAV-","neg","Monomoy","2018","F","V","97.96 (Robust)","2"
1354,"IAV+","neg","Monomoy","2018","F","V","75.7 (Poor)","2"
1357,"IAV-","neg","Muskeget","2018","M",NA,"100.5 (Robust)","2"
1358,"IAV+","neg","Muskeget","2018","F",NA,"97.1 (Robust)","2"
1379,"IAV-","pos","Monomoy","2018","M","IV","86.4 (Average)","2"
1380,"IAV-","pos","Monomoy","2018","F","V","84.21 (Poor)","2"
1391,"IAV-","neg","Monomoy","2018","F",NA,"75.68 (Poor)","2"
1394,"IAV-","neg","Monomoy","2018","F","V","86.14 (Average)","2"
1430,"IAV+","neg","Muskeget","2018","F","V","103.19 (Robust)","2"
1401,"IAV-","pos","Muskeget","2019","F","V","93.2 (Average)","2"
1402,"IAV+","pos","Muskeget","2019","M","V","85.15 (Average)","2"
1403,"IAV+","neg","Muskeget","2019","F","V","93.75 (Average)","2"
1404,"IAV+","neg","Muskeget","2019","F","V","102.11 (Robust)","2"
1405,"IAV+","neg","Muskeget","2019","F","V","96.91 (Robust)","2"
1407,"IAV+","neg","Muskeget","2019","M","V","89.43 (Average)","2"
1414,"IAV-","neg","Great Point","2019","M","V","77.51 (Poor)","2"
1461,"IAV+","neg","Great Point","2019","M","IV","77.17 (Poor)","2"
1463,"IAV+","neg","Great Point","2019","F","IV","81.19 (Poor)","2"
1465,"IAV+","neg","Great Point","2019","F","V","NA (NA)","2"
1476,"IAV-","neg","Muskeget","2019","M","V","70.23 (Poor)","2"
1501,"IAV-","pos","Monomoy","2019","M","V","82.84 (Poor)","2"
1507,"IAV+","neg","Monomoy","2019","F","IV","97.14 (Robust)","2"
1513,"IAV+","neg","Monomoy","2019","F","V","81.31 (Poor)","2"
1516,"IAV-","neg","Monomoy","2019","F","V","NA (NA)","2"
1527,"IAV-","neg","Monomoy","2019","F","V","89.91 (Average)","2"
1528,"IAV-","pos","Monomoy","2019","F","V","NA (NA)","2"
246,"IAV-","neg","Great Point","2020","F","V","84.04 (Poor)","2"
248,"IAV-","neg","Great Point","2020","M","V","96.88 (Robust)","2"
1554,"IAV-","neg","Muskeget","2020","M","V","94.2 (Average)","2"
