"","Sample","GM-CSF","IFNg","IL-2","IL-6","IL-7","IL-8","IL-15","IP-10","KC-like","IL-10","IL-18","MCP-1","TNFa","analysis.year","batch"
"1","213","OOR <","OOR <","OOR <","*1.29","*3.76","OOR <","OOR <","OOR <","OOR <","*8.94","48.69","OOR <","OOR <","2016","1"
"2","254","OOR <","*3.49","OOR <","OOR <","*5.88","OOR <","*6.52","OOR <","OOR <","*14.31","115.88","OOR <","OOR <","2016","1"
"3","258","OOR <","*3.49","OOR <","OOR <","*16.37","44.62","*4.33","OOR <","OOR <","OOR <","106.08","OOR <","OOR <","2016","1"
"4","268","OOR <","OOR <","*5.45","OOR <","*7.99","OOR <","*4.33","OOR <","OOR <","*10.71","92.46","OOR <","OOR <","2016","1"
"5","320","OOR <","OOR <","*4.58","OOR <","*12.18","345.65","*0.31","OOR <","OOR <","*8.94","111.95","OOR <","OOR <","2016","1"
"6","310","OOR <","OOR <","OOR <","OOR <","*14.28","218.82","*0.31","OOR <","OOR <","40.46","236.7","OOR <","OOR <","2016","1"
"7","312","OOR <","OOR <","OOR <","OOR <","*7.99","OOR <","*22.97","OOR <","OOR <","*8.05","82.81","OOR <","OOR <","2016","1"
"8","325","OOR <","OOR <","OOR <","OOR <","*3.76","OOR <","OOR <","OOR <","OOR <","*14.31","220.3","OOR <","OOR <","2016","1"
"9","326","OOR <","*15.17","OOR <","OOR <","*14.28","44.62","*15.73","OOR <","OOR <","*19.79","135.62","OOR <","OOR <","2016","1"
"10","328","OOR <","OOR <","*2.75","OOR <","*16.37","1305.39","*4.33","OOR <","OOR <","77.42","129.68","OOR <","OOR <","2016","1"
"11","329","OOR <","OOR <","*4.58","OOR <","*35.20","44.62","*8.76","OOR <","OOR <","*7.18","84.73","OOR <","OOR <","2016","1"
"12","853","OOR <","*3.49","*0.68","OOR <","498.81","OOR <","*8.76","OOR <","OOR <","*5.44","*23.15","OOR <","OOR <","2016","1"
"13","854","OOR <","OOR <","159.3","*1.29","203.27","126.4","*4.33","OOR <","OOR <","*1.25","92.46","OOR <","OOR <","2016","1"
